일자,시간,시가,고가,저가,종가,거래량
20200518,1530,81100,81100,81100,81100,212214
20200518,1520,80900,81000,80800,81000,10717
20200518,1519,80800,80900,80800,80900,14214
20200518,1518,80900,81000,80800,80800,22439
20200518,1517,80900,81000,80900,80900,5370
20200518,1516,81000,81000,80900,80900,7685
20200518,1515,80900,81000,80900,81000,11908
20200518,1514,80800,81000,80700,81000,39841
20200518,1513,80700,80800,80700,80700,9047
20200518,1512,80800,80800,80700,80800,14652
20200518,1511,80700,80800,80700,80700,7138
20200518,1510,80700,80800,80700,80700,5850
20200518,1509,80700,80800,80700,80800,10649
20200518,1508,80700,80800,80700,80700,21860
20200518,1507,80800,80800,80700,80700,7909
20200518,1506,80700,80800,80700,80700,5577
20200518,1505,80700,80800,80700,80700,10284
20200518,1504,80700,80800,80700,80700,7653
20200518,1503,80800,80800,80700,80800,4579
20200518,1502,80600,80800,80600,80800,19105
20200518,1501,80600,80700,80600,80700,10629
20200518,1500,80600,80700,80600,80600,14180
20200518,1459,80600,80700,80600,80600,6625
20200518,1458,80600,80700,80600,80600,8528
20200518,1457,80800,80800,80600,80700,33239
20200518,1456,80800,80800,80700,80800,7747
20200518,1455,80700,80800,80700,80700,4891
20200518,1454,80800,80800,80700,80800,5053
20200518,1453,80700,80800,80700,80700,5560
20200518,1452,80700,80800,80700,80700,6786
20200518,1451,80800,80900,80700,80800,21528
20200518,1450,80900,80900,80800,80800,4750
20200518,1449,80800,80900,80800,80800,3758
20200518,1448,80900,80900,80800,80800,6901
20200518,1447,80900,80900,80800,80800,6002
20200518,1446,80900,80900,80800,80800,2216
20200518,1445,80900,80900,80800,80900,2163
20200518,1444,80900,80900,80800,80800,3006
20200518,1443,80700,80900,80700,80900,15962
20200518,1442,80700,80800,80700,80700,2315
20200518,1441,80700,80800,80700,80700,2576
20200518,1440,80500,80800,80500,80700,31227
20200518,1439,80700,80700,80500,80600,19808
20200518,1438,80600,80700,80600,80600,7792
20200518,1437,80600,80700,80600,80600,12713
20200518,1436,80600,80700,80600,80600,23715
20200518,1435,80600,80700,80600,80600,2286
20200518,1434,80600,80700,80600,80700,4709
20200518,1433,80600,80700,80600,80700,8666
20200518,1432,80600,80700,80600,80600,4014
20200518,1431,80600,80700,80600,80600,5964
20200518,1430,80600,80700,80600,80700,4717
20200518,1429,80800,80800,80600,80600,13863
20200518,1428,80700,80800,80700,80800,12178
20200518,1427,80700,80800,80700,80700,4809
20200518,1426,80800,80900,80700,80700,54196
20200518,1425,80800,80800,80700,80700,3837
20200518,1424,80700,80800,80700,80700,3722
20200518,1423,80700,80800,80700,80700,4366
20200518,1422,80700,80800,80700,80700,3749
