일자,시간,시가,고가,저가,종가,거래량
20200527,1034,49800,49800,49750,49800,5461
20200527,1033,49800,49850,49750,49800,105804
20200527,1032,49850,49850,49800,49850,70941
20200527,1031,49850,49850,49800,49800,21048
20200527,1030,49850,49850,49800,49800,28887
20200527,1029,49900,49900,49800,49800,42968
20200527,1028,49900,49900,49850,49850,51951
20200527,1027,49850,49900,49800,49850,49532
20200527,1026,49900,49900,49800,49850,50572
20200527,1025,49850,49900,49800,49850,94525
20200527,1024,49850,49900,49800,49800,113920
20200527,1023,49900,49950,49850,49850,101329
20200527,1022,49900,49950,49900,49950,42456
20200527,1021,49950,50000,49900,49900,56952
20200527,1020,49950,50000,49900,49950,164228
20200527,1019,50000,50000,49950,49950,45714
20200527,1018,50000,50000,49950,50000,58399
20200527,1017,49950,50000,49900,49950,101830
20200527,1016,49950,50000,49900,49950,205100
20200527,1015,49850,49950,49850,49900,150465
20200527,1014,49850,49900,49800,49850,77738
20200527,1013,49850,49850,49750,49850,92579
20200527,1012,49850,49850,49800,49800,94604
20200527,1011,49850,49900,49800,49850,128033
20200527,1010,49750,49850,49750,49850,230651
20200527,1009,49750,49800,49750,49750,63370
20200527,1008,49800,49800,49750,49800,57640
20200527,1007,49700,49800,49700,49800,90375
20200527,1006,49800,49800,49700,49700,102705
20200527,1005,49800,49850,49750,49750,51692
20200527,1004,49800,49850,49750,49800,117998
20200527,1003,49750,49800,49750,49800,112899
20200527,1002,49750,49800,49700,49800,118986
20200527,1001,49650,49750,49600,49750,190249
20200527,1000,49600,49700,49600,49650,145390
20200527,959,49600,49650,49550,49600,115520
20200527,958,49550,49600,49500,49550,66804
20200527,957,49600,49600,49500,49550,92368
20200527,956,49600,49650,49550,49600,142128
20200527,955,49400,49600,49350,49600,281247
20200527,954,49450,49450,49350,49350,97196
20200527,953,49400,49450,49350,49450,82308
20200527,952,49300,49400,49250,49400,129242
20200527,951,49250,49300,49200,49250,57791
20200527,950,49250,49250,49200,49250,41564
20200527,949,49200,49250,49150,49250,46169
20200527,948,49100,49200,49050,49200,102571
20200527,947,49050,49100,49050,49100,5450
20200527,946,49050,49100,49000,49100,41610
20200527,945,49050,49050,49000,49050,9558
20200527,944,49100,49100,49000,49050,44888
20200527,943,49050,49100,49050,49100,12550
20200527,942,49050,49100,49000,49050,25072
20200527,941,49100,49100,49000,49050,63603
20200527,940,49050,49100,49000,49100,47221
20200527,939,49000,49050,48950,49050,121827
20200527,938,49000,49000,48950,49000,21197
20200527,937,49000,49000,48950,48950,41569
20200527,936,48950,49000,48900,48950,63252
20200527,935,49000,49000,48900,48950,59849
